stage,killCount,hp,speed,lifetime,coinReward,cooldown,defense
1,0,1500,2,20,3,40,5
1,1,3500,2,20,3,40,20
1,2,7000,2,20,3,40,50
1,3,15000,2,20,3,40,100
1,4,28000,2,20,3,40,180
1,5,50000,2,20,3,40,280
1,6,85000,2,20,3,40,400
1,7,140000,2,20,3,40,550
1,8,220000,2,20,3,40,700
2,0,3000,2,20,3,40,10
2,1,7000,2,20,3,40,40
2,2,14000,2,20,3,40,100
2,3,30000,2,20,3,40,200
2,4,56000,2,20,3,40,360
2,5,100000,2,20,3,40,560
2,6,170000,2,20,3,40,800
2,7,280000,2,20,3,40,1100
2,8,440000,2,20,3,40,1400
3,0,6000,2,20,3,40,20
3,1,14000,2,20,3,40,80
3,2,28000,2,20,3,40,200
3,3,60000,2,20,3,40,400
3,4,112000,2,20,3,40,720
3,5,200000,2,20,3,40,1120
3,6,340000,2,20,3,40,1600
3,7,560000,2,20,3,40,2200
3,8,880000,2,20,3,40,2800
