step,page,title,content,icon
1,1,능력치 강화소,코인을 사용해 공격력·코인 획득량·시작 코인·배치 인원 등을 영구적으로 강화할 수 있습니다.,upgrade
1,2,패시브 강화소,스킬포인트를 사용해 패시브 효과를 강화할 수 있습니다.<br>캐릭터 티어를 해금하면 더 높은 단계의 패시브도 강화할 수 있습니다.,passive
1,3,캐릭터 도감,현재 해금되어 있는 캐릭터와 능력치를 도감에서 확인할 수 있습니다.<br>아직 해금하지 못한 캐릭터는 ?로 표시됩니다.,compendium
1,4,게임 시작하기,스테이지 선택 화면에서 도전할 스테이지를 고른 뒤 게임을 시작할 수 있습니다.,stage
2,1,캐릭터 뽑기,뽑기 버튼을 눌러 코인을 사용해 새로운 캐릭터를 소환할 수 있습니다.,spawn
2,2,캐릭터 합성,같은 캐릭터 3개를 모으면 코인을 사용해 다음 티어의 캐릭터로 합성할 수 있습니다.,merge
2,3,캐릭터 판매,판매 버튼을 눌러 캐릭터를 판매할 수 있습니다.,sell
2,4,캐릭터 이동,캐릭터를 클릭한 후 마우스로 드래그 앤 드랍하면 이동 가능한 곳에 이동시킬 수 있습니다.,move
2,5,스페셜 몬스터,20초마다 스페셜 몬스터 버튼이 활성화 됩니다. <br> 화면에 등장하는 스페셜 몬스터를 처치하면 특수코인을 얻을 수 있습니다. <br> 단 20초 안에 잡지 못하면 사라집니다.,special
2,6,능력치 강화,특수코인을 사용해 능력치 강화 버튼을 눌러 능력치를 추가로 강화할 수 있습니다.,anvil
2,7,조합법,해당하는 조합법의 캐릭터를 모두 가지고 있고 ５티어가 해금되어있다면 5티어 유닛을 합성할 수 있습니다,recipe
2,8,배속 조절,배속 버튼으로 게임 진행 속도를 1배 / 2배로 조절할 수 있습니다.,speed
2,9,게임 진행 안내,적을 물리쳐 코인을 모으고 캐릭터를 합성하며 라운드를 진행해 보세요.<br>10라운드마다 보스가 등장합니다!,info
2,10,게임 오버 안내,적이 한계 수치를 넘으면 게임오버 입니다.,gameover
3,1,보스 등장!,보스를 처치하면 일정량의 특수코인과 강력한 증강 효과 중 하나를 선택할 수 있습니다. <br>신중하게 골라보세요!,augment
3,2,보스1,방어력이 높은 타입의 보스입니다,boss1
3,3,보스2,체력이 높은 타입의 보스입니다,boss2
3,4,보스3 ,모든 데미지를 1로 받는 타입의 보스입니다,boss3
3,5,보스 라운드 ,보스 라운드 제한시간에 보스를 잡지 못하면 게임오버 됩니다.,bossgameover
