characterName,passiveType,passiveValue,passiveSecondValue,passiveDuration
Tier2_1,AttackTwiceChance,30,0,0
Tier2_3,SelfAttackSpeedUpChance,30,50,2
Tier2_5,DoubleDamageChance,20,0,0
Tier3_1,SelfAttackSpeedUpChance,30,50,2
Tier3_1,AllAttackSpeedUp,5,0,0
Tier3_2,AttackTwiceChance,30,0,0
Tier3_2,AllAttackDamageUp,10,0,0
Tier3_4,DoubleDamageChance,20,0,0
Tier3_4,AllEnemySpeedDown,5,0,0
Tier4_1,AttackTwiceChance,30,0,0
Tier4_1,AllAttackSpeedUp,5,0,0
Tier4_3,DoubleDamageChance,20,0,0
Tier4_3,AllAttackDamageUp,10,0,0
Tier4_4,AllEnemySpeedDown,30,0,0
Tier1_4,SpecialCoinOnKillChance,30,10,0
Tier1_5,SpecialCoinOnKillChance,30,10,0
